"ï»¿""Data Source""",World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,11/12/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Austria,AUT,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,3.542256369,4.381785519,2.708769829,3.868570596,4.930911131,2.205882353,3.974999999,2.773102508,3.080402402,4.372824936,4.704262105,6.362062998,7.52408227,9.521791768,8.445255071,7.31868916,5.474999999,3.579047168,3.707093822,6.325389821,6.806862203,5.440414508,3.335380835,5.66486358,3.18969397,1.700921333,1.4,1.931295201,2.563895832,3.262322144,3.334348356,4.029762782,3.625805538,2.959065127,2.250099562,1.843557287,1.308321332,0.921274845,0.56240939,2.395185512,2.663440722,1.802101999,1.355541125,2.061228151,2.304765879,1.449618451,2.168599053,3.21592066,0.506312509,1.813535031,3.266938912,2.485675087,2.000157493,1.605805605,
Azerbaijan,AZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.63009791,1128.000023,1662.215947,411.7596418,19.7948028,3.674348108,-0.772697895,-8.52517001,1.805003038,1.547195911,2.771164714,2.233864933,6.708930421,9.679507327,8.374063195,16.59536673,20.79157914,1.401056148,5.667923129,7.850450579,1.014109821,2.381443661,1.385028931,
Burundi,BDI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,4.436860068,-1.089324619,6.057268722,4.023883697,-0.199650611,3.85096274,3.828557669,6.006493507,15.7223073,15.7098746,6.856551574,6.834514041,23.89562065,36.540757,2.4985195,12.16739435,5.868096357,8.151231356,14.31686979,3.804286836,1.675675676,7.11323764,4.486797697,11.66159985,7.002169567,8.996938735,1.823333333,9.679346581,14.85281498,19.26325364,26.43678161,31.11158983,12.50041077,3.385424273,24.31768096,9.242971751,-1.370974453,10.76166973,7.851688218,13.52367836,2.809014978,8.342032406,24.10735481,10.98146877,6.401249024,9.735019199,18.01281606,7.950674328,4.379840041,
Belgium,BEL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,0.983146067,1.40472879,2.153339733,4.175617616,4.059801522,4.173891504,2.912852216,2.703327173,3.745781776,3.914127724,4.340567613,5.4475,6.955277903,12.67788795,12.76820376,9.15869981,7.110848368,4.470594648,4.469084268,6.650975202,7.62827455,8.725850666,7.663370002,6.347517401,4.867676449,1.295501357,1.554482916,1.162050898,3.105450178,3.452823015,3.208551968,2.429913623,2.753963029,2.377798575,1.466813864,2.058919327,1.627459314,0.954442586,1.118421053,2.54463963,2.474444836,1.641900569,1.592816533,2.091938708,2.784303489,1.79094071,1.823020755,4.487443392,-0.053145674,2.189299204,3.532082107,2.839663434,1.113938556,0.34,
Benin,BEN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.440599215,38.53086617,14.46254822,4.914239726,3.466295906,5.753314584,0.326722893,4.165404423,3.984295478,2.489162355,1.487242461,0.873890831,5.364520858,3.782176965,1.298068133,7.947298761,2.156829962,2.307356822,2.71280052,6.753123517,0.971851852,-1.087211691,
Burkina Faso,BFA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,18.56213873,1.675909561,5.574202829,1.845123198,-0.730252523,2.36410602,-4.333753909,-0.286713688,9.655529358,1.772603315,2.06121818,-2.923356559,7.603890363,8.719609454,18.75694661,-8.400718778,29.9861043,8.269140072,14.99346595,12.2026365,7.555705604,12.05976521,8.153762774,4.846957682,6.906057821,-2.611742925,-2.681784235,4.255616018,-0.481798715,-0.504303389,2.162600527,-1.991135807,0.553455724,25.17787622,7.458844978,6.097804391,2.318690622,5.084333441,-1.072613628,-0.304212168,5.007432908,2.175694807,2.034565741,-0.400228702,6.415040184,2.333108564,-0.230627306,10.6597979,2.608176664,-0.764230735,2.759767249,3.818152403,0.533738507,-0.244138733,
Bangladesh,BGD,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.874696091,7.412765957,6.045479756,6.12671847,6.357364123,3.634076918,3.0148186,5.313740079,10.29781179,2.37712903,5.305601057,8.402237956,6.106695898,2.208256209,2.007173742,3.332564933,5.668707734,7.587536385,7.046618162,6.765261171,9.106984969,8.901944895,5.423472362,8.126676392,10.7048046,6.21818237,7.529972823,6.991165327,
Bulgaria,BGR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,2.726387537,2.369668246,6.388888889,23.8,338.4491115,91.29793273,72.87879139,96.05733827,62.05483368,121.6075,1058.373852,18.67225979,2.573009064,10.3162598,7.360950516,5.810130513,2.157107037,6.346133143,5.038843534,7.261613313,8.402486753,12.34877209,2.753172487,2.438990605,4.219903466,2.954568298,0.890093541,-1.418122662,
Bahrain,BHR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,2.134471719,4.258098223,3.25732899,-0.194127639,1.628981278,5.789473685,5.088195386,14.33182698,24.39299831,16.15978212,22.49576658,17.73112089,15.78553759,2.205991951,3.869525059,11.34459681,8.885713085,2.972399151,0.32239925,-2.635969303,-2.296093214,-1.745001754,0.303435966,1.485897322,0.929335437,0.764419736,-0.172413793,2.538860104,0.816910898,2.704034751,-0.452227383,2.43155134,-0.366533865,-1.287587972,-0.704852953,-1.207571802,-0.495540139,1.593625498,2.352941176,2.586206897,2.007469655,3.256666667,3.526003164,2.795512836,1.961884683,-0.36444775,2.754553598,3.189248093,2.766826246,
"Bahamas, The",BHS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,5.437756499,4.541031463,8.935774123,6.152093421,4.614971827,6.830811319,5.481754162,13.07184584,10.359635,4.255836576,3.189876371,6.109070359,9.091393268,12.09783723,11.1144985,6.012621017,4,3.966346154,4.605009634,5.433781544,5.756464011,4.402411828,5.387658228,4.66931912,7.114681202,5.738198862,2.72289767,1.399334237,2.066994954,1.379137412,0.544150383,1.336613366,1.25424826,1.606329417,2.044989775,2.173577925,3.025045263,0.981914037,1.591606181,2.389826274,2.492577949,4.489559954,2.062734735,1.344027384,3.198781417,1.984598107,0.346878097,1.506998589,
Bosnia and Herzegovina,BIH,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.125,1.515508441,7.416856492,-0.390194249,2.188537852,3.675,2.049674463,-0.086641462,-0.930232558,
Belarus,BLR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190.232999,2221.016806,709.3460398,52.71207699,63.93736625,72.86971714,293.6787508,168.6202359,61.13493312,42.53754813,28.39783993,18.10824248,10.33887946,7.033029285,8.421500392,14.83787648,12.94565634,7.735748043,53.22869831,59.21973602,18.31226104,18.11955435,
Belize,BLZ,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,11.2244898,6.839032527,4.9960968,3.382899629,4.759990788,0.799771494,2.011901388,3.138888889,2.127659574,3.05907173,4.631525077,2.421129861,1.480420248,2.588235294,2.889908257,6.397681676,1.047559187,-0.870827286,-1.213135327,0.614016515,1.157407407,2.205117537,2.605332791,3.094624083,3.636713489,4.232845897,2.315984293,6.389275766,-1.080019637,5.579629184,-3.653482695,1.306449816,0.652552117,0.910664742,
Bermuda,BMU,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,7.561493072,5.879331422,-0.706357215,10.18181818,2.860286029,6.951871658,11.2,5.470623502,2.209748473,3.955509211,3.674614306,6.511544012,31.48602879,62.8360756,7.976746025,4.494011647,8.107255521,10.35567228,19.71971678,47.2416501,32.13360111,123.5357186,275.5862836,1281.349942,11749.63963,276.3359676,14.57869845,16.00209105,15.17346811,17.1187746,21.44706982,12.0603236,8.527876957,7.874044215,10.19320676,12.42548662,4.70844436,7.673228957,2.159516268,4.608229989,1.589653779,0.928258852,3.337274997,4.437380801,5.393231069,4.285549266,8.706247231,14.00040758,3.349369826,2.501767027,9.812689841,4.586374696,5.715580098,5.783563722,
Brazil,BRA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,101.7248208,100.5434981,135.0275951,192.1217696,225.9915563,147.1421659,228.3351346,629.1147272,1430.723231,2947.73293,432.7846016,951.6484599,1927.983498,2075.887182,66.00787631,15.7574361,6.925316945,3.198591891,4.857966241,7.044702451,6.837830757,8.450220696,14.71532583,6.599124847,6.86734958,4.183680532,3.637027934,5.663098519,4.886408444,5.038316946,6.636198657,5.40196475,6.201899613,6.332092342,
Barbados,BRB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,3.634875153,7.488743187,5.835231866,7.284216374,7.469255664,11.87665623,16.85508183,38.92292809,20.29446876,4.986768111,8.352369699,9.482382591,13.16983554,14.43051972,14.56756321,10.33246644,5.230298783,4.685797312,3.915105251,1.330068452,3.311731107,4.858859178,6.190114068,3.074572711,6.257526633,6.09389303,1.113439336,0.077204388,1.878862794,2.386152228,7.71053879,-1.268886607,1.560062402,2.435813035,2.577834904,0.125249458,1.619433198,1.394422311,6.082187295,7.307662628,4.034229829,8.108108108,3.643861893,5.824218533,9.432202402,4.533347539,1.804005504,1.887170246,
Brunei Darussalam,BRN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,9.137055838,6.356589147,1.166180758,3.073967339,2.353215284,1.781242886,1.246854906,1.192842942,1.304300371,2.138662932,1.6,1.279527559,4.25170068,2.462518449,5.966641395,1.99613651,1.711560045,-0.44137931,-0.415627598,1.558152476,0.595890411,-2.314972425,0.3,0.814223995,1.244437119,0.159888078,0.96777412,2.084980237,1.035717743,0.356869132,2.015934385,0.464102858,0.383263086,-0.194426292,
Bhutan,BTN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,9.933142311,9.90443093,18.02371542,7.032819826,1.877346683,9.950859951,6.368715084,10.08403361,8.778625954,10,12.28070175,15.98011364,11.20636865,6.99339207,9.495625322,8.789659224,6.513285807,10.57702059,6.77732942,4.01099373,3.410404624,2.483430488,1.566152408,-18.10863013,5.311513063,5.00045438,5.156111388,8.327160494,4.361122191,7.036383161,8.848985699,10.91965694,7.006666667,8.206545146,
Botswana,BWA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,11.97475502,11.73242361,13.16872428,9.04398827,11.73623064,13.63242515,16.42802677,11.13720643,10.47714381,8.577469043,8.0945758,10.00171556,9.801933874,8.351679568,11.57501475,11.39634612,11.76501608,16.1676124,14.33080334,10.54292099,10.51254608,10.08285807,8.719931271,6.661398657,7.749296192,8.601485149,6.55903767,8.032796625,9.189902656,6.945703637,8.610225285,11.55521879,7.080998472,12.70218839,8.027297031,6.948876587,8.458165875,7.540284094,5.883888483,4.40313594,
Central African Republic,CAF,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,-0.033333333,13.2960987,14.61261129,2.542209668,10.42384023,2.245152512,-6.986802706,-3.964468821,0.689055807,-0.012330456,-2.762362807,-1.033608117,-2.915358493,24.57101373,19.18940397,3.724941103,1.611313478,-1.885200962,-1.414202201,3.203400916,3.834860602,2.331817035,4.134709052,-2.066406011,2.883520734,6.695264658,0.92841211,9.272618503,3.5199021,1.493233784,1.300569969,5.772250594,1.501845124,,
Canada,CAN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,0.865982848,1.178563487,1.769230769,1.792463017,2.46101623,3.737446941,3.572854291,4.08556562,4.508424366,3.366108601,2.836575542,4.775,7.611548557,10.86474501,10.81333333,7.508121767,7.991046446,8.912840709,9.144542773,10.18308631,12.46241494,10.80335467,5.81615377,4.338823529,3.9509291,4.173897952,4.36484798,4.022667412,4.99501266,4.764688688,5.615234375,1.505845056,1.84136899,0.185279836,2.168229067,1.570531125,1.621216381,0.995942457,1.734842951,2.719439957,2.52512014,2.258394409,2.758563214,1.857258719,2.213552034,2.002025395,2.138383993,2.370270674,0.299466803,1.776871541,2.912135089,1.515678231,0.938291898,1.906635907,
Central Europe and the Baltics,CEB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.2517602,89.81194903,35.92509236,28.07169648,19.81722123,8.877890341,8.208333333,4.019138756,8.878803678,5.745330486,3.32331065,2.157107037,3.589026796,3.320959165,3.878312373,4.835779384,6.350986289,2.753172487,1.840965347,4.133333333,3.333800252,1.434726602,0.106494137,
Switzerland,CHE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,1.845370665,4.315615656,3.439719346,3.081313591,3.414516711,4.776130985,4.021477504,2.412351238,2.489007537,3.616026967,6.573012939,6.66019148,8.755040978,9.766746411,6.696452896,1.715861505,1.285269605,1.055814414,3.64764268,4.022025377,6.490218642,5.655212161,2.967687074,2.911208151,3.429985856,0.740740741,1.447963801,1.884478145,3.162963774,5.378739656,5.879391926,4.041076353,3.271796746,0.85840708,1.798718961,0.818824341,0.52150124,0.017009696,0.824829932,1.543392089,0.9890204,0.642699253,0.63834928,0.802903084,1.171971667,1.05877759,0.732636421,2.426637033,-0.48057991,0.698510114,0.225601604,-0.66694456,-0.240990348,-0.013225325,
Channel Islands,CHI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.409964751,3.340318008,3.006520356,1.791710733,4.395,
China,CHN,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.219985792,18.73642675,18.333044,3.058310672,3.5435753,6.340344882,14.583266,24.23708802,16.89706397,8.324015061,2.806843185,-0.844626159,-1.40789153,0.255304778,0.722902508,-0.765949287,1.155909711,3.884182625,1.821647757,1.463189043,4.750296622,5.864383723,-0.702949137,3.314545929,5.410829643,2.652439936,2.630845103,1.992982607,
Cote d'Ivoire,CIV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,11.61649215,-1.341248901,0.94346631,0.618192523,2.611176126,4.191317984,2.291851953,5.350454789,4.450228542,8.205190543,-0.443745436,0.310313699,11.10298667,17.35938845,11.44422397,12.07664022,27.42186151,13.24298685,16.34235657,14.7009813,8.799210833,7.583125896,5.640428433,4.284761104,1.863803272,9.682954731,6.943306265,6.930686172,1.049518238,-0.805879698,1.683348499,4.231383829,2.16471454,26.08157199,14.29506909,2.480806692,4.020833333,4.690566794,0.788184879,2.45994989,4.283067803,3.105236979,3.349414197,1.440384102,3.891664475,2.467729689,1.889588737,6.309090909,1.026167265,1.675665412,4.90547588,1.312723318,2.569960899,0.461945553,
Cameroon,CMR,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,-1.101591187,5.858085809,4.014029618,8.092918696,10.3847487,17.23293349,13.55332941,9.930650564,14.69830916,12.46305234,6.580610819,9.551754276,10.7275,13.25701986,16.63122641,11.37332209,8.508374344,7.770024987,13.14049984,1.682332608,-1.665525896,1.099381284,0.060051331,-0.016055046,-3.206554569,35.09446185,9.069690719,3.924063727,4.786238819,3.170751854,1.871745007,1.22719013,4.419772459,2.834422601,0.623163557,0.23364738,2.013539502,5.11757816,0.921402246,5.337806276,3.043618479,1.275380462,2.939699463,2.942510001,1.945145275,1.947948268,
"Congo, Rep.",COG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,4.158110883,0.44356826,1.030421982,-1.79698883,2.889053742,-1.67834969,-3.935468101,4.923664122,42.43967503,9.418007435,10.03112033,,,4.142671373,-0.881991517,0.055989922,4.378759718,-0.631844987,2.42976608,3.094490115,6.537843953,2.656413243,7.334245387,5.299319915,4.998504884,1.325757664,3.89014729,5.968928863,0.077160494,
Colombia,COL,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,8.283190456,4.697093951,26.35543553,17.07243522,7.590683669,16.72816827,8.328191364,7.447538783,6.98166308,6.908622758,11.50999736,13.63991889,21.21994765,24.58221203,23.16657356,20.11742485,33.71350177,17.39099403,24.48693356,26.53353013,27.50423689,24.56145897,19.73080813,16.15534903,24.04569944,18.8723248,23.30062586,28.10876616,25.86625689,29.14547055,30.3738164,27.02259553,22.43841317,22.84786022,20.89346612,20.79800807,18.4681276,18.67620156,10.87474413,9.221133432,7.968468049,6.350125349,7.131186269,5.904678173,5.048116153,4.296333435,5.543753935,6.996990766,4.202933108,2.278220158,3.411616121,3.176934374,2.022774948,2.877810251,
Comoros,COM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.554593948,3.533042143,3.799081367,4.474992891,3.013323951,3.374363601,4.466167101,1.700781763,4.362348293,3.354757703,1.771363774,1.768907098,2.297303022,0.578747502,
Cabo Verde,CPV,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,11.25,5.393258427,10.87420043,3.846153846,4.074074074,4.555160142,10.65350579,9.550907413,3.116664327,5.788395904,3.45205833,8.35152498,5.963619618,8.556062581,4.3942351,4.356433745,-2.477456685,3.349964723,1.884534101,1.188170386,-1.890821723,0.418891613,5.369076871,4.410997042,6.782768103,0.983222786,2.078664709,4.473883422,2.543293964,1.512153759,-0.243630795,
Costa Rica,CRI,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,2.43079391,2.677859687,2.931618471,3.32403316,-0.665000001,0.182882838,1.208340311,4.093891431,2.629340837,4.652297493,3.083048414,4.601125693,15.21403422,30.07362928,17.36920202,3.485833333,4.17448443,6.014671439,9.183509785,18.12638988,37.05720068,90.1227133,32.62056218,11.95066091,15.0517585,11.83675076,16.84665276,20.82632322,16.50995417,19.04418009,28.70932083,21.78825425,9.781446442,13.5342451,23.18923671,17.52249457,13.23146987,11.66609348,10.04588377,10.99252429,11.22697551,9.164815792,9.44756481,12.31503093,13.79797528,11.47053071,9.357331387,13.42335635,7.843825841,5.660230651,4.883012481,4.504067692,5.224285869,4.515312677,
Caribbean small states,CSS,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,3.207179087,5.369919019,5.835231866,7.284216374,4.614971827,6.830811319,13.4406007,27.15818946,17.17760363,9.931595653,9.731132769,9.482382591,14.78223927,17.47030428,12.73971811,6.839032527,4.9960968,3.688744528,3.915105251,2.190258254,4.024580433,4,5.387658228,4.267556629,5.557061534,5.471825593,2.72289767,2.588235294,2.923354254,2.23636304,2.99598403,2.672174945,1.560062402,2.181818182,2.577834904,2.173577925,2.235436644,2.394109821,3.733429165,4.256049294,4.034229829,8.032255793,0.421539126,3.370025402,3.456749672,2.598444141,1.059497824,1.298220082,
Cuba,CUB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,-0.615384615,0.103199174,1.958762887,-0.303336705,0.202839757,0.506072874,0.704934543,3.766666666,2.38515901,2.40018825,4.144006128,4.832303619,7.808882341,16.17666667,4.63948584,3.854389722,7.326460481,7.436283299,9.463708295,13.51756058,10.74469361,6.432797267,5.049714241,5.99195111,5.034453664,1.21836926,2.791666667,3.429266315,3.765480483,4.502054629,5.035274388,6.510219531,4.854166667,4.698589311,2.61581788,2.978924865,3.605344444,2.227707327,1.63,4.141657647,1.977056383,2.801155052,4.139065387,2.286217068,2.558451986,2.495874931,2.372492743,4.669171081,0.374079976,2.381258363,3.289449396,2.389768958,-0.400053061,-1.354988854,
Czech Republic,CZE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.963985594,9.170305677,8.8,8.547794118,10.62658764,2.143130501,3.902835019,4.705811647,1.7850993,0.107708792,2.82727114,1.846170702,2.528104997,2.927443471,6.350986289,1.044811886,1.408717924,1.936389149,3.299073139,1.434726602,0.337186898,
