"","Canada","New Zealand","United States","South Africa"
"2006","2.002025","3.365404","3.225944","4.641625"
"2007","2.138384","2.376143","2.852672","7.098420"
"2008"," 2.370271"," 3.958944"," 3.839100","11.536451"
"2009"," 0.2994668"," 2.1156559","-0.3555463"," 7.1300000"
"2010","1.776872","2.302026","1.640043","4.262344"
"2011","2.912135","4.432943","3.156842","4.995510"
"2012","1.5156782","0.8834303","2.0693373","5.6535830"
"2013","0.9382919","1.3028620","1.4648327","5.4452795"
